Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,958,50.4,47.6,53.1,"3,455",%,Crude Prevalence,,,BRFSS,CLASS16,Topic47,01,BO1,CAT1,_RFPSA21,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,Overall,Overall,"2,302",77,74.9,79.1,"3,330",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,01,BO1,CAT1,_MAM5021,RESP186,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,Overall,Overall,609,23,20.9,25.1,"3,331",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,01,BO1,CAT1,_MAM5021,RESP187,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,860",75.1,73.3,77,"3,292",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,01,BO1,CAT1,_MAM502Y,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,871,24.9,23,26.8,"3,293",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,01,BO1,CAT1,_MAM502Y,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"3,271",72.7,70.8,74.5,"3,252",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,01,BO1,CAT1,_RFMAM2Y,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,"1,072",27.3,25.5,29.2,"3,253",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,01,BO1,CAT1,_RFMAM2Y,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,228",78.3,76.2,80.4,"3,368",%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,01,BO1,CAT1,_RFPAP32,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,Overall,Overall,715,21.7,19.7,23.8,"3,369",%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,01,BO1,CAT1,_RFPAP32,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Received a Pap test within the past 3 years,Overall,Overall,"1,686",83.2,81.1,85.3,"3,412",%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,01,BO1,CAT1,_RFPAP33,RESP188,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Did not receive a Pap test within the past 3 years,Overall,Overall,370,16.8,14.7,18.9,"3,413",%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,01,BO1,CAT1,_RFPAP33,RESP189,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,190,7.8,6.4,9.2,"3,489",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,02,BO1,CAT1,_RFBLDS2,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,"2,184",92.2,90.8,93.6,"3,490",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,02,BO1,CAT1,_RFBLDS2,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,Overall,Overall,89,4.6,3.4,5.8,"3,529",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,02,BO1,CAT1,_RFBLDS3,RESP190,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,Overall,Overall,"2,017",95.4,94.2,96.6,"3,530",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,02,BO1,CAT1,_RFBLDS3,RESP191,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,604",64.3,61.5,67,"3,568",%,Crude Prevalence,,,BRFSS,CLASS04,Topic52,02,BO1,CAT1,_RFSIGM2,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,Overall,Overall,793,35.7,33,38.5,"3,569",%,Crude Prevalence,,,BRFSS,CLASS04,Topic52,02,BO1,CAT1,_RFSIGM2,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,Overall,Overall,"1,270",60,57,63,"3,608",%,Crude Prevalence,,,BRFSS,CLASS04,Topic64,02,BO1,CAT1,_CRCREC,RESP192,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,Overall,Overall,782,40,37,43,"3,609",%,Crude Prevalence,,,BRFSS,CLASS04,Topic64,02,BO1,CAT1,_CRCREC,RESP193,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Age,What is your age?,18-24 years,Overall,Overall,245,14.1,12.3,15.9,"1,341",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP010,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Age,What is your age?,25-34 years,Overall,Overall,557,20,18.2,21.7,"1,342",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP011,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Age,What is your age?,35-44 years,Overall,Overall,643,16.8,15.2,18.5,"1,343",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP012,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Age,What is your age?,45-54 years,Overall,Overall,886,18.2,16.8,19.7,"1,344",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP013,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Age,What is your age?,55-64 years,Overall,Overall,"1,069",17.7,16.2,19.1,"1,345",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP014,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Age,What is your age?,65+ years,Overall,Overall,988,13.3,12.2,14.3,"1,346",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,02,BO1,CAT1,AGE,RESP015,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"3,905",85,83.4,86.7,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,02,BO1,CAT1,HLTHPLN1,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,448,15,13.3,16.6,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,02,BO1,CAT1,HLTHPLN1,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,882",82.9,81,84.7,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,02,BO1,CAT1,_HCVU651,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,430,17.2,15.3,19,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,02,BO1,CAT1,_HCVU651,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,480,51.6,47.3,55.9,"3,039",%,Crude Prevalence,,,BRFSS,CLASS11,Topic26,02,BO1,CAT1,_FLSHOT6,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,Overall,Overall,460,48.4,44.1,52.7,"3,040",%,Crude Prevalence,,,BRFSS,CLASS11,Topic26,02,BO1,CAT1,_FLSHOT6,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,570,60.5,56.2,64.9,"3,077",%,Crude Prevalence,,,BRFSS,CLASS11,Topic46,02,BO1,CAT1,_PNEUMO2,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,Overall,Overall,329,39.5,35.1,43.8,"3,078",%,Crude Prevalence,,,BRFSS,CLASS11,Topic46,02,BO1,CAT1,_PNEUMO2,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,113,13.4,10.1,16.7,"1,162",%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,02,BO1,CAT1,_ALTETH2,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,Overall,Overall,826,86.6,83.3,89.9,"1,163",%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,02,BO1,CAT1,_ALTETH2,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,503,34.8,31.3,38.2,"3,449",%,Crude Prevalence,,,BRFSS,CLASS16,Topic47,02,BO1,CAT1,_RFPSA21,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,786,65.3,61.8,68.7,"3,450",%,Crude Prevalence,,,BRFSS,CLASS16,Topic47,02,BO1,CAT1,_RFPSA21,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,Overall,Overall,774,68.9,65.1,72.7,"3,325",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,02,BO1,CAT1,_MAM5021,RESP186,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,Overall,Overall,359,31.1,27.3,34.9,"3,326",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,02,BO1,CAT1,_MAM5021,RESP187,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,886,68.2,64.7,71.8,"3,287",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,02,BO1,CAT1,_MAM502Y,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,434,31.8,28.3,35.4,"3,288",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,02,BO1,CAT1,_MAM502Y,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,075",63.1,59.8,66.3,"3,247",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,02,BO1,CAT1,_RFMAM2Y,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,608,36.9,33.7,40.2,"3,248",%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,02,BO1,CAT1,_RFMAM2Y,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,304",73.1,69.9,76.4,"3,363",%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,02,BO1,CAT1,_RFPAP32,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,Overall,Overall,443,26.9,23.6,30.1,"3,364",%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,02,BO1,CAT1,_RFPAP32,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Received a Pap test within the past 3 years,Overall,Overall,"1,134",78.7,75.5,81.8,"3,407",%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,02,BO1,CAT1,_RFPAP33,RESP188,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Did not receive a Pap test within the past 3 years,Overall,Overall,286,21.3,18.2,24.5,"3,408",%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,02,BO1,CAT1,_RFPAP33,RESP189,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,751",16.1,15.1,17.1,"3,502",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,04,BO1,CAT1,_RFBLDS2,RESP046,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,"8,029",83.9,82.9,84.9,"3,503",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,04,BO1,CAT1,_RFBLDS2,RESP054,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,Overall,Overall,820,10.3,9.3,11.2,"3,542",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,04,BO1,CAT1,_RFBLDS3,RESP190,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,Overall,Overall,"6,663",89.7,88.8,90.7,"3,543",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,04,BO1,CAT1,_RFBLDS3,RESP191,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"7,250",68.1,66.7,69.6,"3,582",%,Crude Prevalence,,,BRFSS,CLASS04,Topic52,04,BO1,CAT1,_RFSIGM2,RESP046,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,Overall,Overall,"2,665",31.9,30.4,33.3,"3,583",%,Crude Prevalence,,,BRFSS,CLASS04,Topic52,04,BO1,CAT1,_RFSIGM2,RESP054,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,Overall,Overall,"5,004",63.9,62.2,65.6,"3,622",%,Crude Prevalence,,,BRFSS,CLASS04,Topic64,04,BO1,CAT1,_CRCREC,RESP192,"(34.865970280000454, -111.76381127699972)"
